Timestamp,ID,Date,Day,GoToSlp,Getup,Duration,Com,Quality,Reason,BreakfastTime,Breakfast,MorningSnack,LunchTime,Lunch,AfternoonSnack,DinnerTime,Dinner,EveningSnack,MorningAct,AfternoonAct,EveningAct
10/3/16 9:59,18,10/3/16,Thursday,0:00:00,8:00:00,8:00:00,Yes,3,,8:00:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",13:00:00,"Grain products (rice, noodles, bread, etc.), Seafood","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",21:00:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.)",,"Bike (as a transportation), Work/study",Work/study,"Bike (as a transportation), Social activities (party, communication with people more than 20 mins)"
10/3/16 10:25,21,10/3/16,Thursday,23:30:00,9:00:00,9:30:00,Yes,4,,9:30:00,"Fruit products (including juice), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",14:30:00,"Grain products (rice, noodles, bread, etc.), Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",,19:00:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans), Fruit products_(including juice), Dairy products (milk, cheese, butter, etc.), Alcohol drink (including beer, wine)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Alcohol drink (including beer, wine)",Work/study,Work/study,"Social activities (party, communication with people more than 20 mins)"
10/3/16 10:44,5,10/3/16,Thursday,23:45:00,8:25:00,8:40:00,No,5,,8:45:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:10:00,Meat products,"Caffeine drink (including coffee, tea, cola)",,"Vegetables (including salad, beans), Meat products","Dairy products (milk, cheese, butter, etc.)","Walk (as a transportation or shopping), Work/study, Social activities (party, communication with people more than 20 mins)","Walk (as a transportation or shopping), Entertainment/relax (rest, watch TV or movies, play games, etc.), Sport (workout, cycling, swimming, etc.)","Entertainment/relax (rest, watch TV or movies, play games, etc.), Social activities (party, communication with people more than 20 mins)"
10/3/16 10:46,3,10/3/16,Thursday,23:30:00,6:20:00,6:50:00,No,1,I was worried about my project,6:45:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:15:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.)","Fruit products_(including juice), Caffeine drink (including coffee, tea, cola)",18:45:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans)","Caffeine drink (including coffee, tea, cola)","Walk (as a transportation or shopping), Bike (as a transportation), Work/study","Walk (as a transportation or shopping), Work/study","Drive or take bus/car/train, Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.), Social activities (party, communication with people more than 20 mins)"
10/3/16 11:13,2,10/3/16,Thursday,0:00:00,8:50:00,8:50:00,No,2,i feel tired this morning,9:45:00,"Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Dairy products (milk, cheese, butter, etc.)",,12:00:00,"Starchy products (potato, chip, fries), Fruit products_(including juice)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",18:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Meat products","Caffeine drink (including coffee, tea, cola)","Drive or take bus/car/train, Work/study","Work/study, Social activities (party, communication with people more than 20 mins)","Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 11:27,23,10/3/16,Thursday,0:40:00,9:15:00,8:35:00,No,4,,9:15:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:10:00,"Starchy products (potato, chip, fries), Meat products","Caffeine drink (including coffee, tea, cola)",19:45:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Seafood, Egg prodcuts",Fruit products_(including juice),Work/study,Work/study,"Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 11:32,30,10/3/16,Thursday,23:50:00,8:30:00,8:40:00,No,4,,8:47:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.)","Dairy products (milk, cheese, butter, etc.)",11:56:00,"Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Meat products","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",19:15:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Meat products","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)","Bike (as a transportation), Work/study",Work/study,"Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 11:44,15,10/3/16,Thursday,1:00:00,9:30:00,8:30:00,No,3,,9:45:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Starchy products (potato, chip, fries), Fruit products (including juice), Dairy products (milk, cheese, butter, etc.)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",12:45:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Starchy products (potato, chip, fries)",,20:30:00,"Starchy products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",Bike (as a transportation),Bike (as a transportation),"Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 12:46,6,10/3/16,Thursday,1:30:00,8:10:00,6:40:00,No,2,I have already slept around 10 pm,8:50:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.)",,12:10:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Seafood, Egg prodcuts",,,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Seafood, Meat products",Meat products,"Drive or take bus/car/train, Work/study",Work/study,Work/study
10/3/16 13:14,7,10/3/16,Thursday,23:30:00,7:45:00,8:15:00,No,4,,8:15:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)",,12:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Vegetables (including salad, beans)","Caffeine drink (including coffee, tea, cola)",21:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.)",,Bike (as a transportation),Work/study,"Bike (as a transportation), Sport (workout, cycling, swimming, etc.)"
10/3/16 13:31,24,10/3/16,Thursday,1:40:00,8:10:00,6:30:00,,4,,8:35:00,"Egg prodcuts, Caffeine drink (including coffee, tea, cola)","Egg prodcuts, Caffeine drink (including coffee, tea, cola)",11:40:00,"Starchy products (potato, chip, fries)","Starchy products (potato, chip, fries)",18:30:00,Meat products,Meat products,Bike (as a transportation),Work/study,Work/study
11/3/16 8:21,17,11/3/16,Friday,22:00:00,6:00:00,8:00:00,Yes,4,,6:10:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:30:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Caffeine drink (including coffee, tea, cola)",20:00:00,"Vegetables (including salad, beans), Meat products",,"Drive or take bus/car/train, Work/study",Work/study,"Walk (as a transportation or shopping), Drive or take bus/car/train"
11/3/16 8:51,22,11/3/16,Friday,22:22:00,7:00:00,8:38:00,No,4,,7:20:00,"Sweet food (cookie, cakes, chocolate, sugar, etc.), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",12:00:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Sandwich (if you eat this composite dish also choose the components inside), Fruit products_(including juice), Meat products",21:10:00,"Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Meat products",,"Bike (as a transportation), Work/study","Bike (as a transportation), Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.), cook"
11/3/16 9:07,28,11/3/16,Friday,23:51:00,7:10:00,7:19:00,No,4,,7:30:00,"Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products (including juice), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)",,12:15:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Fruit products_(including juice)","Sweet food (cookie, cakes, chocolate, sugar, etc.)",20:15:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Seafood","Potato products (potato, chip, fries), Alcohol drink (including beer, wine)","Walk (as a transportation or shopping), Work/study","Drive or take bus/car/train, Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.), Social activities (party, communication with people more than 20 mins)"
11/3/16 9:10,25,11/3/16,Friday,22:10:00,6:40:00,8:30:00,Yes,4,,6:50:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",12:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",18:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)","Drive or take bus/car/train, Work/study","Drive or take bus/car/train, Work/study","Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.), Sport (workout, cycling, swimming, etc.)"
11/3/16 9:22,13,11/3/16,Friday,23:11:00,7:00:00,7:49:00,No,2,Woke up in the night,7:30:00,Fruit products (including juice),"Sweet food (cookie, cakes, chocolate, sugar, etc.)",12:30:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans)",Fruit products_(including juice),20:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.)",Fruit products_(including juice),Bike (as a transportation),Work/study,"Bike (as a transportation), Social activities (party, communication with people more than 20 mins), Sport (workout, cycling, swimming, etc.)"
11/3/16 9:33,11,11/3/16,Friday,23:00:00,7:00:00,8:00:00,No,4,,7:30:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Fruit products (including juice), Meat products, Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",12:10:00,"Potato products (potato, chip, fries), Meat products, Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products_(including juice), Dairy products (milk, cheese, butter, etc.), Seafood",,"Walk (as a transportation or shopping), Bike (as a transportation), Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)","Walk (as a transportation or shopping), Bike (as a transportation), Work/study","Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 9:36,20,11/3/16,Friday,23:50:00,7:00:00,7:10:00,Yes,5,,7:15:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.), Nuts",Nuts,13:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Meat products",,19:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Sweet food (cookie, cakes, chocolate, sugar, etc.), Vegetables (including salad, beans), Seafood, Alcohol drink (including beer, wine)","Caffeine drink (including coffee, tea, cola)",Drive or take bus/car/train,Work/study,"Social activities (party, communication with people more than 20 mins)"
11/3/16 9:37,12,11/3/16,Friday,0:45:00,8:50:00,8:05:00,No,4,,9:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",,11:50:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products",,18:10:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Potato products (potato, chip, fries)",Work/study,"Work/study, Social activities (party, communication with people more than 20 mins)","Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 9:39,4,11/3/16,Friday,21:00:00,7:00:00,10:00:00,No,4,,8:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.)",,12:30:00,"Vegetables (including salad, beans)",,18:30:00,Meat products,,Bike (as a transportation),Work/study,"Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 9:52,5,11/3/16,Friday,23:35:00,7:50:00,8:15:00,No,5,,8:15:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Meat products","Caffeine drink (including coffee, tea, cola)",,"Vegetables (including salad, beans), Meat products","Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.)",21:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Meat products",,"Walk (as a transportation or shopping), Work/study","Walk (as a transportation or shopping), Bike (as a transportation), Sport (workout, cycling, swimming, etc.)","Entertainment/relax (rest, watch TV or movies, play games, etc.), Social activities (party, communication with people more than 20 mins)"
11/3/16 10:02,18,11/3/16,Friday,23:00:00,7:20:00,8:20:00,Yes,4,,8:30:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.), Egg prodcuts","Caffeine drink (including coffee, tea, cola)",14:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans)","Fruit products_(including juice), Caffeine drink (including coffee, tea, cola)",19:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Fruit products_(including juice), Dairy products (milk, cheese, butter, etc.)",,"Bike (as a transportation), Work/study",Work/study,"Bike (as a transportation), Social activities (party, communication with people more than 20 mins)"
11/3/16 10:03,14,11/3/16,Friday,22:50:00,8:00:00,9:10:00,No,4,,8:30:00,"Fruit products (including juice), Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",13:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Meat products, Caffeine drink (including coffee, tea, cola)","Caffeine drink (including coffee, tea, cola)",21:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Alcohol drink (including beer, wine)",,"Bike (as a transportation), Work/study","Bike (as a transportation), Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 10:13,3,11/3/16,Friday,22:30:00,8:15:00,9:45:00,No,3,,6:45:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:15:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.)","Fruit products_(including juice), Caffeine drink (including coffee, tea, cola)",19:10:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Alcohol drink (including beer, wine)","Potato products (potato, chip, fries), Alcohol drink (including beer, wine)","Drive or take bus/car/train, Bike (as a transportation), Work/study","Walk (as a transportation or shopping), Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 10:17,1,11/3/16,Friday,23:30:00,9:50:00,10:20:00,No,4,,9:30:00,"Sweet food (cookie, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",,12:10:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Meat products","Caffeine drink (including coffee, tea, cola)",18:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products, Caffeine drink (including coffee, tea, cola)",,"Drive or take bus/car/train, Work/study","Drive or take bus/car/train, Work/study","Walk (as a transportation or shopping), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 10:37,16,11/3/16,Friday,23:50:00,8:00:00,8:10:00,No,5,,9:15:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Caffeine drink (including coffee, tea, cola)",,12:30:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.)",18:00:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Meat products","Potato products (potato, chip, fries), Caffeine drink (including coffee, tea, cola)",,Walk (as a transportation or shopping),"Sport (workout, cycling, swimming, etc.)"
11/3/16 11:51,15,11/3/16,Friday,0:45:00,9:45:00,9:00:00,No,2,Don't know,9:45:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Fruit products (including juice), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:45:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.)","Caffeine drink (including coffee, tea, cola)",19:30:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Fruit products_(including juice), Nuts",Bike (as a transportation),Bike (as a transportation),"Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 12:37,7,11/3/16,Friday,0:15:00,8:00:00,7:45:00,No,3,,8:30:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Caffeine drink (including coffee, tea, cola)",,12:15:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans)",Fruit products_(including juice),,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans)",,"Bike (as a transportation), Work/study",Work/study,"Bike (as a transportation), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 12:47,26,11/3/16,Friday,23:30:00,9:00:00,9:30:00,No,3,,9:11:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Dairy products (milk, cheese, butter, etc.), Nuts","Sweet food (cookie, cakes, chocolate, sugar, etc.)",13:05:00,Sandwich (if you eat this composite dish also choose the components inside),"Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products_(including juice)",18:02:00,"Potato products (potato, chip, fries), Vegetables (including salad, beans), Meat products","Sweet food (cookie, cakes, chocolate, sugar, etc.)","Walk (as a transportation or shopping), Bike (as a transportation), Work/study","Walk (as a transportation or shopping), Bike (as a transportation), Work/study","Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 13:11,19,11/3/16,Friday,1:00:00,8:30:00,7:30:00,Yes,4,,10:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",18:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Vegetables (including salad, beans), Caffeine drink (including coffee, tea, cola)","Sweet food (cookie, cakes, chocolate, sugar, etc.), Fruit products_(including juice)",,"Vegetables (including salad, beans), Meat products","Sweet food (cookie, cakes, chocolate, sugar, etc.)","Drive or take bus/car/train, Work/study","Drive or take bus/car/train, Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.)"
11/3/16 13:14,23,11/3/16,Friday,0:05:00,8:30:00,8:25:00,No,3,,8:30:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Sweet food (cookie, cakes, chocolate, sugar, etc.), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",12:05:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Meat products","Caffeine drink (including coffee, tea, cola)",18:45:00,"Grain products (rice, noodles, bread, pizza, pasta, etc.), Vegetables (including salad, beans), Seafood, Meat products, Egg prodcuts","Caffeine drink (including coffee, tea, cola)","Walk (as a transportation or shopping), Work/study","Walk (as a transportation or shopping), Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.)"
